run,iteration,method_id,method,topology_id,topology,action_id,action_metric,source,supported,reduced_metrics,worsened_metrics,failed_metric_reduction,failed_metric_worsening,violation_reduction
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_02_M1_gm_id_increase,dc_gain,spice_small_perturbation,True,dc_gain|saturation_margin,,0.07389,0.0,0.019228
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_01_M2_L_increase,dc_gain,spice_small_perturbation,True,dc_gain|saturation_margin,,0.010611,0.0,0.001551
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_03_M4_L_increase,dc_gain,spice_small_perturbation,True,dc_gain,saturation_margin,0.000455,0.000651,-0.000115
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,saturation_margin_01_M3_gm_id_increase,saturation_margin,spice_small_perturbation,True,dc_gain|saturation_margin,,0.004076,0.0,0.001037
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_04_global_I_tail_increase,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_05_M5_gm_id_increase,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_3,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_06_global_I_tail_decrease,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_01_M1_gm_id_increase,dc_gain,spice_small_perturbation,True,output_swing|saturation_margin,dc_gain,0.07666300000000001,5.3e-05,0.013982
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_02_M3_gm_id_increase,dc_gain,spice_small_perturbation,True,dc_gain|output_swing|saturation_margin,,0.010534,0.0,0.001414
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_03_M2_L_increase,dc_gain,spice_small_perturbation,True,dc_gain|saturation_margin,output_swing,0.023762,0.002098,0.004506
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_04_M4_L_increase,dc_gain,spice_small_perturbation,True,dc_gain,output_swing|saturation_margin,5.8e-05,0.00043900000000000005,-2.8e-05
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_05_M5_gm_id_increase,dc_gain,spice_small_perturbation,False,,dc_gain|output_swing|saturation_margin,0.0,0.006486,-0.00123
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_6,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_06_global_I_tail_decrease,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_01_M1_gm_id_increase,dc_gain,spice_small_perturbation,True,output_swing|saturation_margin,dc_gain,0.017154,0.001727,0.003149
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_02_M3_gm_id_increase,dc_gain,spice_small_perturbation,True,dc_gain|output_swing|saturation_margin,,0.01582,0.0,0.00188
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_03_M2_L_increase,dc_gain,spice_small_perturbation,True,dc_gain|saturation_margin,output_swing,0.019857,0.002299,0.003815
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_04_M4_L_increase,dc_gain,spice_small_perturbation,True,dc_gain,output_swing|saturation_margin,0.000831,0.006677,-0.000574
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_05_M5_gm_id_increase,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_06_global_I_tail_decrease,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,002,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,slew_rate_01_global_I_tail_increase,slew_rate,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_9,002,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,slew_rate_02_M5_L_decrease,slew_rate,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_7,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_02_M1_gm_id_increase,dc_gain,spice_small_perturbation,True,dc_gain|saturation_margin,power,0.039778999999999995,0.00234,0.012519
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_7,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_01_M2_L_increase,dc_gain,spice_small_perturbation,True,dc_gain|power,saturation_margin,0.011533,0.038357,-0.012563
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_7,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,dc_gain_03_M4_L_increase,dc_gain,spice_small_perturbation,False,,,0.0,0.0,0.0
diagnosis_spice_postprocess_fallback__five_transistor_ota_frontier_stress__seed_7,001,diagnosis_spice_postprocess_fallback,Diagnosis + repair,five_transistor_ota,5T,saturation_margin_02_M3_gm_id_increase,saturation_margin,spice_small_perturbation,True,dc_gain|saturation_margin,,6e-05,0.0,1.7e-05
