topology,n_runs,pass_count,pass_fraction,median_iteration,spec_pass_rate,raw_Gain,ratio_Gain,Gain,raw_UGBW,ratio_UGBW,UGBW,raw_PM,ratio_PM,PM,raw_SR,ratio_SR,SR,raw_Swing,ratio_Swing,Swing,raw_Power,ratio_Power,Power
5T,10,10,10/10,2,1.0,27.20619165,1.007263667160311,27.2,104636070.93580924,1.3496204170747998,104.64,74.5802663616974,1.243004439361623,74.6,82257793.17411354,1.1864675201804924,82.26,0.90515075,1.0361157852564102,0.905,9.357893999999999e-05,2.1378581922726356,93.6
Current mirror,10,10,10/10,3,1.0,29.246094300000003,1.011975581314879,29.2,36536217.4596277,1.0344342429113167,36.54,65.27477259352057,1.087912876558676,65.3,41017391.96083702,1.0932140714508802,41.02,0.8808126999999999,1.0589236595335416,0.881,5.7779279999999996e-05,5.192172696175934,57.8
Folded cascode,10,10,10/10,1,1.0,45.8474453,1.001035923580786,45.8,33319354.183798745,1.0205008938376339,33.32,81.13543945072121,1.3522573241786868,81.1,16153745.84937229,1.009609115585768,16.15,0.9594758000000001,1.0203932787408274,0.959,2.07e-05,28.985507246376812,20.7
Telescopic,10,10,10/10,1,1.0,48.4017404,1.0010701220268874,48.4,12641133.296512159,1.020269031195493,12.64,83.3198697852897,1.388664496421495,83.3,5779632.407056392,1.0139705977291915,5.78,0.9577692,1.0204231834647348,0.958,1.646364e-05,18.22197278366145,16.5
Two-stage,10,10,10/10,2,1.0,57.0398012,1.009554003539823,57.0,36709863.86543687,1.0488532532981962,36.71,71.72681278567944,1.195446879761324,71.7,29886527.04277703,1.030569898026794,29.89,0.7873066,1.0359297368421052,0.787,0.0003723984,2.6852961774271855,372.4
